,uncertainty,access,observation,condition,option,option_prob
0,low,10,0,0,certainly not,0.105123627
5,low,8,2,0.25,certainly not,0.135870021
10,low,9,3,0.33,certainly not,0.143771081
15,low,8,4,0.5,certainly not,0.132469469
20,low,9,6,0.67,certainly not,0.14056515
25,low,8,6,0.75,certainly not,0.134521487
30,low,10,10,1,certainly not,0.128954511
35,high,2,0,0,certainly not,0.088817584
40,high,4,1,0.25,certainly not,0.127762924
45,high,3,1,0.33,certainly not,0.129889924
50,high,4,2,0.5,certainly not,0.135036647
55,high,3,2,0.67,certainly not,0.138825886
60,high,4,3,0.75,certainly not,0.139044456
65,high,2,2,1,certainly not,0.126264645
1,low,10,0,0,probably not,0.752865853
6,low,8,2,0.25,probably not,0.658728842
11,low,9,3,0.33,probably not,0.67558947
16,low,8,4,0.5,probably not,0.673064038
21,low,9,6,0.67,probably not,0.691548163
26,low,8,6,0.75,probably not,0.682822989
31,low,10,10,1,probably not,0.596570843
36,high,2,0,0,probably not,0.792395959
41,high,4,1,0.25,probably not,0.629178294
46,high,3,1,0.33,probably not,0.619972816
51,high,4,2,0.5,probably not,0.644538451
56,high,3,2,0.67,probably not,0.641611031
61,high,4,3,0.75,probably not,0.663667975
66,high,2,2,1,probably not,0.651322596
2,low,10,0,0,possibly,0.021026048
7,low,8,2,0.25,possibly,0.047323699
12,low,9,3,0.33,possibly,0.04741067
17,low,8,4,0.5,possibly,0.042010295
22,low,9,6,0.67,possibly,0.039648221
27,low,8,6,0.75,possibly,0.037648249
32,low,10,10,1,possibly,0.046704229
37,high,2,0,0,possibly,0.020647625
42,high,4,1,0.25,possibly,0.066282532
47,high,3,1,0.33,possibly,0.074009048
52,high,4,2,0.5,possibly,0.060392124
57,high,3,2,0.67,possibly,0.062573729
62,high,4,3,0.75,possibly,0.051151597
67,high,2,2,1,possibly,0.069187317
3,low,10,0,0,probably,0.029651481
8,low,8,2,0.25,probably,0.036284338
13,low,9,3,0.33,probably,0.034416456
18,low,8,4,0.5,probably,0.037364729
23,low,9,6,0.67,probably,0.033127329
28,low,8,6,0.75,probably,0.033485046
33,low,10,10,1,probably,0.074633145
38,high,2,0,0,probably,0.020972777
43,high,4,1,0.25,probably,0.047001353
48,high,3,1,0.33,probably,0.044192821
53,high,4,2,0.5,probably,0.040863355
58,high,3,2,0.67,probably,0.040086236
63,high,4,3,0.75,probably,0.03952689
68,high,2,2,1,probably,0.040042547
4,low,10,0,0,certainly,0.09133299
9,low,8,2,0.25,certainly,0.1217931
14,low,9,3,0.33,certainly,0.098812322
19,low,8,4,0.5,certainly,0.115091469
24,low,9,6,0.67,certainly,0.095111138
29,low,8,6,0.75,certainly,0.11152223
34,low,10,10,1,certainly,0.153137271
39,high,2,0,0,certainly,0.077166055
44,high,4,1,0.25,certainly,0.129774897
49,high,3,1,0.33,certainly,0.131935392
54,high,4,2,0.5,certainly,0.119169423
59,high,3,2,0.67,certainly,0.116903117
64,high,4,3,0.75,certainly,0.106609082
69,high,2,2,1,certainly,0.113182896
