,uncertainty,access,observation,condition,generated_answer,generated_answer_logprob
0,low,10,0,0,others,-3.77828455
1,low,10,0,0,others,-3.05953455
2,low,10,0,0,others,-1.42672205
3,low,10,0,0,others,-4.12203455
4,low,10,0,0,others,-2.65328455
6,low,10,0,0,others,-1.42672205
7,low,10,0,0,others,-1.42672205
8,low,10,0,0,others,-2.62203455
9,low,10,0,0,others,-2.65328455
10,low,10,0,0,others,-2.55172205
11,low,10,0,0,others,-1.42672205
12,low,10,0,0,others,-3.85640955
13,low,10,0,0,others,-2.97359705
14,low,10,0,0,others,-3.05953455
15,low,10,0,0,others,-4.70015955
16,low,10,0,0,others,-4.63765955
17,low,10,0,0,others,-1.42672205
18,low,10,0,0,others,-3.77828455
19,low,10,0,0,others,-4.42672205
20,low,10,0,0,others,-2.62203455
22,low,10,0,0,others,-4.87203455
23,low,10,0,0,others,-3.59078455
24,low,10,0,0,others,-4.77828455
25,low,10,0,0,others,-2.55172205
26,low,10,0,0,others,-3.05953455
27,low,10,0,0,others,-4.12203455
28,low,10,0,0,others,-2.55172205
29,low,10,0,0,others,-2.97359705
30,low,10,0,0,others,-1.42672205
31,low,10,0,0,others,-3.05953455
32,low,10,0,0,others,-2.55172205
33,low,10,0,0,others,-1.42672205
34,low,10,0,0,others,-2.62203455
35,low,10,0,0,others,-2.55172205
36,low,10,0,0,others,-2.65328455
37,low,10,0,0,others,-2.62203455
38,low,10,0,0,others,-3.99703455
39,low,10,0,0,others,-1.42672205
40,low,10,0,0,others,-1.42672205
41,low,10,0,0,others,-2.62203455
43,low,10,0,0,others,-2.65328455
44,low,10,0,0,others,-2.65328455
46,low,10,0,0,others,-2.65328455
47,low,10,0,0,others,-2.97359705
48,low,10,0,0,others,-1.42672205
49,low,10,0,0,others,-1.42672205
50,low,10,0,0,others,-3.77047205
51,low,10,0,0,others,-2.62203455
53,low,10,0,0,others,-3.85640955
54,low,10,0,0,others,-2.62203455
55,low,10,0,0,others,-1.42672205
56,low,10,0,0,others,-4.9696908
57,low,10,0,0,others,-3.05953455
58,low,10,0,0,others,-3.05953455
59,low,10,0,0,others,-4.61422205
60,low,10,0,0,others,-3.99703455
61,low,10,0,0,others,-4.61422205
62,low,10,0,0,others,-1.42672205
64,low,10,0,0,others,-2.55172205
66,low,10,0,0,others,-1.42672205
67,low,10,0,0,others,-2.85640955
68,low,10,0,0,others,-3.59859705
69,low,10,0,0,others,-2.85640955
70,low,10,0,0,others,-1.42672205
71,low,10,0,0,others,-2.97359705
72,low,10,0,0,others,-1.42672205
73,low,10,0,0,others,-1.42672205
74,low,10,0,0,others,-3.05953455
76,low,10,0,0,others,-1.42672205
77,low,10,0,0,others,-2.85640955
79,low,10,0,0,others,-2.55172205
80,low,10,0,0,others,-2.65328455
81,low,10,0,0,others,-1.42672205
83,low,10,0,0,others,-1.42672205
84,low,10,0,0,others,-3.59078455
86,low,10,0,0,others,-3.85640955
