,uncertainty,access,observation,condition,generated_answer,generated_answer_logprob
0,low,10,0,0,others,-2.714986086
1,low,10,0,0,others,-3.543111086
4,low,10,0,0,others,-0.722798645
5,low,10,0,0,others,-4.402486324
6,low,10,0,0,others,-0.722798645
7,low,10,0,0,others,-0.722798645
8,low,10,0,0,others,-4.402486324
10,low,10,0,0,others,-2.714986086
13,low,10,0,0,others,-2.894673586
14,low,10,0,0,others,-2.714986086
15,low,10,0,0,others,-0.722798645
16,low,10,0,0,others,-4.402486324
18,low,10,0,0,others,-2.714986086
20,low,10,0,0,others,-3.918111086
21,low,10,0,0,others,-2.894673586
22,low,10,0,0,others,-3.543111086
23,low,10,0,0,others,-2.714986086
24,low,10,0,0,others,-0.722798645
25,low,10,0,0,others,-0.722798645
26,low,10,0,0,others,-4.199361324
27,low,10,0,0,others,-0.722798645
29,low,10,0,0,others,-0.722798645
30,low,10,0,0,others,-0.722798645
32,low,10,0,0,others,-3.175923586
33,low,10,0,0,others,-2.894673586
34,low,10,0,0,others,-3.543111086
35,low,10,0,0,others,-0.722798645
36,low,10,0,0,others,-0.722798645
38,low,10,0,0,others,-0.722798645
40,low,10,0,0,others,-2.894673586
41,low,10,0,0,others,-0.722798645
42,low,10,0,0,others,-3.175923586
43,low,10,0,0,others,-0.722798645
47,low,10,0,0,others,-0.722798645
49,low,10,0,0,others,-3.175923586
50,low,10,0,0,others,-4.402486324
51,low,10,0,0,others,-0.722798645
52,low,10,0,0,others,-0.722798645
54,low,10,0,0,others,-0.722798645
55,low,10,0,0,others,-2.714986086
56,low,10,0,0,others,-0.722798645
57,low,10,0,0,others,-0.722798645
58,low,10,0,0,others,-0.722798645
59,low,10,0,0,others,-0.722798645
60,low,10,0,0,others,-2.714986086
62,low,10,0,0,others,-0.722798645
63,low,10,0,0,others,-2.714986086
64,low,10,0,0,others,-0.722798645
65,low,10,0,0,others,-3.175923586
66,low,10,0,0,others,-0.722798645
67,low,10,0,0,others,-0.722798645
68,low,10,0,0,others,-0.722798645
69,low,10,0,0,others,-0.722798645
70,low,10,0,0,others,-4.402486324
72,low,10,0,0,others,-2.894673586
73,low,10,0,0,others,-3.543111086
75,low,10,0,0,others,-3.918111086
76,low,10,0,0,others,-3.543111086
77,low,10,0,0,others,-2.894673586
78,low,10,0,0,others,-0.722798645
79,low,10,0,0,others,-0.722798645
80,low,10,0,0,others,-0.722798645
81,low,10,0,0,others,-2.714986086
84,low,10,0,0,others,-0.722798645
85,low,10,0,0,others,-0.722798645
86,low,10,0,0,others,-0.722798645
87,low,10,0,0,others,-0.722798645
88,low,10,0,0,others,-3.543111086
89,low,10,0,0,others,-2.714986086
90,low,10,0,0,others,-4.347798824
91,low,10,0,0,others,-0.722798645
94,low,10,0,0,others,-0.722798645
95,low,10,0,0,others,-0.722798645
96,low,10,0,0,others,-0.722798645
97,low,10,0,0,others,-0.722798645
98,low,10,0,0,others,-0.722798645
99,low,10,0,0,others,-0.722798645
101,low,8,2,0.25,others,-0.688823879
102,low,8,2,0.25,others,-0.688823879
103,low,8,2,0.25,others,-2.891948938
104,low,8,2,0.25,others,-4.4622612
105,low,8,2,0.25,others,-0.688823879
106,low,8,2,0.25,others,-0.688823879
107,low,8,2,0.25,others,-3.540386438
109,low,8,2,0.25,others,-2.727886438
110,low,8,2,0.25,others,-3.540386438
111,low,8,2,0.25,others,-0.688823879
112,low,8,2,0.25,others,-0.688823879
113,low,8,2,0.25,others,-2.891948938
114,low,8,2,0.25,others,-0.688823879
115,low,8,2,0.25,others,-3.931011438
118,low,8,2,0.25,others,-0.688823879
119,low,8,2,0.25,others,-0.688823879
120,low,8,2,0.25,others,-2.727886438
122,low,8,2,0.25,others,-0.688823879
123,low,8,2,0.25,others,-3.540386438
124,low,8,2,0.25,others,-0.688823879
127,low,8,2,0.25,others,-3.227886438
128,low,8,2,0.25,others,-3.540386438
129,low,8,2,0.25,others,-0.688823879
130,low,8,2,0.25,others,-0.688823879
131,low,8,2,0.25,others,-0.688823879
132,low,8,2,0.25,others,-2.727886438
133,low,8,2,0.25,others,-0.688823879
134,low,8,2,0.25,others,-0.688823879
135,low,8,2,0.25,others,-0.688823879
136,low,8,2,0.25,others,-2.891948938
137,low,8,2,0.25,others,-0.688823879
139,low,8,2,0.25,others,-0.688823879
140,low,8,2,0.25,others,-0.688823879
141,low,8,2,0.25,others,-4.4622612
142,low,8,2,0.25,others,-0.688823879
144,low,8,2,0.25,others,-0.688823879
145,low,8,2,0.25,others,-0.688823879
146,low,8,2,0.25,others,-0.688823879
147,low,8,2,0.25,others,-2.727886438
148,low,8,2,0.25,others,-0.688823879
149,low,8,2,0.25,others,-4.4310112
150,low,8,2,0.25,others,-0.688823879
152,low,8,2,0.25,others,-0.688823879
154,low,8,2,0.25,others,-4.2981987
156,low,8,2,0.25,others,-0.688823879
157,low,8,2,0.25,others,-0.688823879
158,low,8,2,0.25,others,-4.1966362
159,low,8,2,0.25,others,-0.688823879
160,low,8,2,0.25,others,-2.891948938
161,low,8,2,0.25,others,-0.688823879
163,low,8,2,0.25,others,-4.1966362
164,low,8,2,0.25,others,-0.688823879
165,low,8,2,0.25,others,-2.727886438
166,low,8,2,0.25,others,-0.688823879
168,low,8,2,0.25,others,-4.4310112
169,low,8,2,0.25,others,-0.688823879
170,low,8,2,0.25,others,-4.4622612
171,low,8,2,0.25,others,-0.688823879
172,low,8,2,0.25,others,-0.688823879
