,uncertainty,access,observation,condition,generated_answer,generated_answer_logprob
0,low,10,0,0,others,-0.522137165
1,low,10,0,0,others,-1.194012165
2,low,10,0,0,others,-3.334637165
3,low,10,0,0,others,-1.194012165
4,low,10,0,0,others,-1.194012165
5,low,10,0,0,others,-1.194012165
6,low,10,0,0,others,-1.194012165
7,low,10,0,0,others,-0.522137165
8,low,10,0,0,others,-1.194012165
9,low,10,0,0,others,-1.194012165
10,low,10,0,0,others,-1.194012165
11,low,10,0,0,others,-1.194012165
12,low,10,0,0,others,-1.194012165
13,low,10,0,0,others,-1.194012165
14,low,10,0,0,others,-0.522137165
15,low,10,0,0,others,-0.522137165
16,low,10,0,0,others,-1.194012165
17,low,10,0,0,others,-0.522137165
18,low,10,0,0,others,-0.522137165
19,low,10,0,0,others,-0.522137165
20,low,10,0,0,others,-0.522137165
21,low,10,0,0,others,-1.194012165
22,low,10,0,0,others,-0.522137165
23,low,10,0,0,others,-0.522137165
24,low,10,0,0,others,-0.522137165
25,low,10,0,0,others,-3.584637165
26,low,10,0,0,others,-0.522137165
27,low,10,0,0,others,-1.194012165
28,low,10,0,0,others,-0.522137165
29,low,10,0,0,others,-0.522137165
30,low,10,0,0,others,-0.522137165
31,low,10,0,0,others,-1.194012165
32,low,10,0,0,others,-3.209637165
33,low,10,0,0,others,-0.522137165
34,low,10,0,0,others,-3.334637165
35,low,10,0,0,others,-1.194012165
36,low,10,0,0,others,-0.522137165
37,low,10,0,0,others,-1.194012165
38,low,10,0,0,others,-0.522137165
39,low,10,0,0,others,-0.522137165
40,low,10,0,0,others,-1.194012165
41,low,10,0,0,others,-1.194012165
42,low,10,0,0,others,-0.522137165
43,low,10,0,0,others,-0.522137165
44,low,10,0,0,others,-0.522137165
45,low,10,0,0,others,-1.194012165
46,low,10,0,0,others,-3.584637165
47,low,10,0,0,others,-1.194012165
48,low,10,0,0,others,-0.522137165
49,low,10,0,0,others,-0.522137165
50,low,10,0,0,others,-0.522137165
51,low,10,0,0,others,-1.194012165
52,low,10,0,0,others,-0.522137165
53,low,10,0,0,others,-0.522137165
54,low,10,0,0,others,-0.522137165
55,low,10,0,0,others,-1.194012165
56,low,10,0,0,others,-1.194012165
57,low,10,0,0,others,-0.522137165
58,low,10,0,0,others,-0.522137165
59,low,10,0,0,others,-3.584637165
60,low,10,0,0,others,-0.522137165
61,low,10,0,0,others,-3.334637165
62,low,10,0,0,others,-3.584637165
63,low,10,0,0,others,-0.522137165
64,low,10,0,0,others,-0.522137165
65,low,10,0,0,others,-0.522137165
66,low,10,0,0,others,-0.522137165
67,low,10,0,0,others,-0.522137165
68,low,10,0,0,others,-0.522137165
69,low,10,0,0,others,-0.522137165
70,low,10,0,0,others,-0.522137165
71,low,10,0,0,others,-0.522137165
72,low,10,0,0,others,-1.194012165
73,low,10,0,0,others,-0.522137165
74,low,10,0,0,others,-1.194012165
75,low,10,0,0,others,-0.522137165
76,low,10,0,0,others,-3.334637165
77,low,10,0,0,others,-0.522137165
78,low,10,0,0,others,-0.522137165
