,uncertainty,access,observation,condition,generated_answer,generated_answer_logprob
17,low,10,0,0,others,-3.110919952
23,low,10,0,0,others,-3.110919952
33,low,10,0,0,others,-3.649982452
35,low,10,0,0,others,-3.110919952
51,low,10,0,0,others,-3.110919952
54,low,10,0,0,others,-3.110919952
75,low,10,0,0,others,-3.110919952
76,low,10,0,0,others,-3.110919952
95,low,10,0,0,others,-3.649982452
100,low,8,2,0.25,others,-2.377905846
101,low,8,2,0.25,others,-3.049780846
104,low,8,2,0.25,others,-3.049780846
112,low,8,2,0.25,others,-3.737280846
119,low,8,2,0.25,others,-2.377905846
122,low,8,2,0.25,others,-2.377905846
143,low,8,2,0.25,others,-3.049780846
160,low,8,2,0.25,others,-2.377905846
163,low,8,2,0.25,others,-2.377905846
176,low,8,2,0.25,others,-2.377905846
183,low,8,2,0.25,others,-2.377905846
194,low,8,2,0.25,others,-3.049780846
207,low,9,3,0.33,others,-2.412640095
212,low,9,3,0.33,others,-2.412640095
222,low,9,3,0.33,others,-3.686077595
225,low,9,3,0.33,others,-3.053265095
229,low,9,3,0.33,others,-3.686077595
232,low,9,3,0.33,others,-2.412640095
247,low,9,3,0.33,others,-2.412640095
248,low,9,3,0.33,others,-2.412640095
258,low,9,3,0.33,others,-2.412640095
260,low,9,3,0.33,others,-3.053265095
277,low,9,3,0.33,others,-2.412640095
285,low,9,3,0.33,others,-3.053265095
311,low,8,4,0.5,others,-2.455056667
312,low,8,4,0.5,others,-2.455056667
326,low,8,4,0.5,others,-2.455056667
337,low,8,4,0.5,others,-2.455056667
340,low,8,4,0.5,others,-2.455056667
352,low,8,4,0.5,others,-2.455056667
357,low,8,4,0.5,others,-3.134744167
359,low,8,4,0.5,others,-3.665994167
365,low,8,4,0.5,others,-2.455056667
368,low,8,4,0.5,others,-3.134744167
371,low,8,4,0.5,others,-2.455056667
373,low,8,4,0.5,others,-3.134744167
376,low,8,4,0.5,others,-3.134744167
388,low,8,4,0.5,others,-2.455056667
397,low,8,4,0.5,others,-2.455056667
398,low,8,4,0.5,others,-3.134744167
399,low,8,4,0.5,others,-2.455056667
411,low,9,6,0.67,others,-2.637699366
421,low,9,6,0.67,others,-2.637699366
422,low,9,6,0.67,others,-2.637699366
433,low,9,6,0.67,others,-2.637699366
440,low,9,6,0.67,others,-3.668949366
441,low,9,6,0.67,others,-3.668949366
443,low,9,6,0.67,others,-3.668949366
444,low,9,6,0.67,others,-3.668949366
456,low,9,6,0.67,others,-3.293949366
484,low,9,6,0.67,others,-3.668949366
486,low,9,6,0.67,others,-2.637699366
491,low,9,6,0.67,others,-3.668949366
494,low,9,6,0.67,others,-2.637699366
503,low,8,6,0.75,others,-3.309896469
508,low,8,6,0.75,others,-2.591146469
520,low,8,6,0.75,others,-2.591146469
522,low,8,6,0.75,others,-2.591146469
531,low,8,6,0.75,others,-2.591146469
536,low,8,6,0.75,others,-2.591146469
553,low,8,6,0.75,others,-2.591146469
557,low,8,6,0.75,others,-3.309896469
566,low,8,6,0.75,others,-2.591146469
577,low,8,6,0.75,others,-2.591146469
578,low,8,6,0.75,others,-3.309896469
579,low,8,6,0.75,others,-2.591146469
582,low,8,6,0.75,others,-2.591146469
604,low,10,10,1,others,-3.567342281
617,low,10,10,1,others,-3.567342281
629,low,10,10,1,others,-2.707967281
633,low,10,10,1,others,-2.707967281
636,low,10,10,1,others,-2.707967281
647,low,10,10,1,others,-3.567342281
654,low,10,10,1,others,-3.567342281
657,low,10,10,1,others,-3.231404781
660,low,10,10,1,others,-3.231404781
663,low,10,10,1,others,-2.707967281
695,low,10,10,1,others,-3.231404781
699,low,10,10,1,others,-3.231404781
705,high,2,0,0,others,-3.31377244
711,high,2,0,0,others,-2.82939744
714,high,2,0,0,others,-2.82939744
715,high,2,0,0,others,-2.82939744
734,high,2,0,0,others,-2.82939744
746,high,2,0,0,others,-3.09502244
762,high,2,0,0,others,-3.09502244
788,high,2,0,0,others,-3.31377244
791,high,2,0,0,others,-3.09502244
800,high,4,1,0.25,others,-2.369152784
808,high,4,1,0.25,others,-2.916027784
811,high,4,1,0.25,others,-2.369152784
812,high,4,1,0.25,others,-2.916027784
814,high,4,1,0.25,others,-2.369152784
816,high,4,1,0.25,others,-2.369152784
826,high,4,1,0.25,others,-2.369152784
834,high,4,1,0.25,others,-2.369152784
835,high,4,1,0.25,others,-3.783215284
846,high,4,1,0.25,others,-2.369152784
856,high,4,1,0.25,others,-2.916027784
865,high,4,1,0.25,others,-3.783215284
871,high,4,1,0.25,others,-2.369152784
876,high,4,1,0.25,others,-2.369152784
879,high,4,1,0.25,others,-2.369152784
882,high,4,1,0.25,others,-2.369152784
883,high,4,1,0.25,others,-2.916027784
886,high,4,1,0.25,others,-2.369152784
888,high,4,1,0.25,others,-2.369152784
894,high,4,1,0.25,others,-2.916027784
897,high,4,1,0.25,others,-3.783215284
898,high,4,1,0.25,others,-2.369152784
907,high,3,1,0.33,others,-3.564739704
918,high,3,1,0.33,others,-2.338177204
927,high,3,1,0.33,others,-2.338177204
929,high,3,1,0.33,others,-2.338177204
930,high,3,1,0.33,others,-2.338177204
941,high,3,1,0.33,others,-2.338177204
945,high,3,1,0.33,others,-2.822552204
950,high,3,1,0.33,others,-2.822552204
953,high,3,1,0.33,others,-2.338177204
960,high,3,1,0.33,others,-2.338177204
962,high,3,1,0.33,others,-2.338177204
967,high,3,1,0.33,others,-2.338177204
968,high,3,1,0.33,others,-2.338177204
983,high,3,1,0.33,others,-2.822552204
987,high,3,1,0.33,others,-2.822552204
1019,high,4,2,0.5,others,-2.246566296
1030,high,4,2,0.5,others,-2.863753796
1035,high,4,2,0.5,others,-2.246566296
1036,high,4,2,0.5,others,-2.246566296
1051,high,4,2,0.5,others,-2.246566296
1053,high,4,2,0.5,others,-2.246566296
1058,high,4,2,0.5,others,-3.527816296
1062,high,4,2,0.5,others,-2.863753796
1068,high,4,2,0.5,others,-2.246566296
1071,high,4,2,0.5,others,-2.863753796
1074,high,4,2,0.5,others,-2.246566296
1078,high,4,2,0.5,others,-2.246566296
1095,high,4,2,0.5,others,-2.246566296
1097,high,4,2,0.5,others,-3.527816296
1103,high,3,2,0.67,others,-3.349447727
1105,high,3,2,0.67,others,-2.271322727
1107,high,3,2,0.67,others,-2.849447727
1108,high,3,2,0.67,others,-2.271322727
1116,high,3,2,0.67,others,-2.271322727
1118,high,3,2,0.67,others,-2.271322727
1119,high,3,2,0.67,others,-2.849447727
1121,high,3,2,0.67,others,-2.271322727
1124,high,3,2,0.67,others,-2.271322727
1130,high,3,2,0.67,others,-3.349447727
1144,high,3,2,0.67,others,-2.271322727
1148,high,3,2,0.67,others,-2.271322727
1151,high,3,2,0.67,others,-2.271322727
1162,high,3,2,0.67,others,-2.849447727
1164,high,3,2,0.67,others,-2.849447727
1166,high,3,2,0.67,others,-2.271322727
1167,high,3,2,0.67,others,-2.271322727
1168,high,3,2,0.67,others,-2.271322727
1170,high,3,2,0.67,others,-2.271322727
1178,high,3,2,0.67,others,-2.849447727
1193,high,3,2,0.67,others,-2.271322727
1198,high,3,2,0.67,others,-2.271322727
1208,high,4,3,0.75,others,-2.360640526
1211,high,4,3,0.75,others,-2.360640526
1219,high,4,3,0.75,others,-3.040328026
1227,high,4,3,0.75,others,-2.360640526
1231,high,4,3,0.75,others,-2.360640526
1235,high,4,3,0.75,others,-3.040328026
1241,high,4,3,0.75,others,-2.360640526
1256,high,4,3,0.75,others,-2.360640526
1258,high,4,3,0.75,others,-2.360640526
1268,high,4,3,0.75,others,-2.360640526
1270,high,4,3,0.75,others,-2.360640526
1272,high,4,3,0.75,others,-3.040328026
1275,high,4,3,0.75,others,-2.360640526
1279,high,4,3,0.75,others,-3.040328026
1288,high,4,3,0.75,others,-2.360640526
1293,high,4,3,0.75,others,-3.040328026
1295,high,4,3,0.75,others,-3.040328026
1302,high,2,2,1,others,-2.197705507
1309,high,2,2,1,others,-2.197705507
1312,high,2,2,1,others,-2.197705507
1321,high,2,2,1,others,-2.197705507
1324,high,2,2,1,others,-2.197705507
1326,high,2,2,1,others,-2.197705507
1328,high,2,2,1,others,-2.728955507
1330,high,2,2,1,others,-2.197705507
1334,high,2,2,1,others,-2.197705507
1351,high,2,2,1,others,-2.197705507
1355,high,2,2,1,others,-2.728955507
1360,high,2,2,1,others,-2.728955507
1365,high,2,2,1,others,-2.197705507
1367,high,2,2,1,others,-3.346143007
1372,high,2,2,1,others,-2.197705507
1376,high,2,2,1,others,-2.197705507
1379,high,2,2,1,others,-3.346143007
1380,high,2,2,1,others,-2.728955507
1381,high,2,2,1,others,-2.728955507
1386,high,2,2,1,others,-2.728955507
1394,high,2,2,1,others,-2.197705507
1396,high,2,2,1,others,-2.197705507
1397,high,2,2,1,others,-2.197705507
10,low,10,0,0,certainly not,-2.314044952
13,low,10,0,0,certainly not,-2.314044952
16,low,10,0,0,certainly not,-2.314044952
25,low,10,0,0,certainly not,-2.314044952
28,low,10,0,0,certainly not,-2.314044952
39,low,10,0,0,certainly not,-2.314044952
48,low,10,0,0,certainly not,-2.314044952
58,low,10,0,0,certainly not,-2.314044952
66,low,10,0,0,certainly not,-2.314044952
68,low,10,0,0,certainly not,-2.314044952
102,low,8,2,0.25,certainly not,-2.174780846
115,low,8,2,0.25,certainly not,-2.174780846
116,low,8,2,0.25,certainly not,-2.174780846
125,low,8,2,0.25,certainly not,-2.174780846
142,low,8,2,0.25,certainly not,-2.174780846
145,low,8,2,0.25,certainly not,-2.174780846
153,low,8,2,0.25,certainly not,-2.174780846
179,low,8,2,0.25,certainly not,-2.174780846
187,low,8,2,0.25,certainly not,-2.174780846
189,low,8,2,0.25,certainly not,-2.174780846
235,low,9,3,0.33,certainly not,-2.115765095
241,low,9,3,0.33,certainly not,-2.115765095
244,low,9,3,0.33,certainly not,-2.115765095
259,low,9,3,0.33,certainly not,-2.115765095
261,low,9,3,0.33,certainly not,-2.115765095
264,low,9,3,0.33,certainly not,-2.115765095
265,low,9,3,0.33,certainly not,-2.115765095
276,low,9,3,0.33,certainly not,-2.115765095
279,low,9,3,0.33,certainly not,-2.115765095
286,low,9,3,0.33,certainly not,-2.115765095
287,low,9,3,0.33,certainly not,-2.115765095
293,low,9,3,0.33,certainly not,-2.115765095
302,low,8,4,0.5,certainly not,-2.189431667
304,low,8,4,0.5,certainly not,-2.189431667
306,low,8,4,0.5,certainly not,-2.189431667
313,low,8,4,0.5,certainly not,-2.189431667
315,low,8,4,0.5,certainly not,-2.189431667
369,low,8,4,0.5,certainly not,-2.189431667
390,low,8,4,0.5,certainly not,-2.189431667
393,low,8,4,0.5,certainly not,-2.189431667
400,low,9,6,0.67,certainly not,-2.106449366
402,low,9,6,0.67,certainly not,-2.106449366
410,low,9,6,0.67,certainly not,-2.106449366
435,low,9,6,0.67,certainly not,-2.106449366
445,low,9,6,0.67,certainly not,-2.106449366
460,low,9,6,0.67,certainly not,-2.106449366
464,low,9,6,0.67,certainly not,-2.106449366
465,low,9,6,0.67,certainly not,-2.106449366
473,low,9,6,0.67,certainly not,-2.106449366
474,low,9,6,0.67,certainly not,-2.106449366
492,low,9,6,0.67,certainly not,-2.106449366
523,low,8,6,0.75,certainly not,-2.153646469
528,low,8,6,0.75,certainly not,-2.153646469
530,low,8,6,0.75,certainly not,-2.153646469
545,low,8,6,0.75,certainly not,-2.153646469
549,low,8,6,0.75,certainly not,-2.153646469
556,low,8,6,0.75,certainly not,-2.153646469
562,low,8,6,0.75,certainly not,-2.153646469
583,low,8,6,0.75,certainly not,-2.153646469
587,low,8,6,0.75,certainly not,-2.153646469
592,low,8,6,0.75,certainly not,-2.153646469
603,low,10,10,1,certainly not,-2.192342281
